youngest_borrower_age,year_built,valuation_type,unique_identifier,undrawn_facility,underlying_exposure_identifier,total_credit_limit,stressed_LTV,special_scheme,secondary_income_verification,secondary_income,scheduled_principal_payment_frequency,scheduled_interest_payment_frequency,sale_price,revision_margin_3,revision_margin_2,revision_margin_1,revised_interest_rate_index_tenor,revised_interest_rate_index,resident,redemption_date,recourse,reason_for_default_or_foreclosure,purpose,purchase_price,property_type,prior_principal_balances,principal_grace_period_end_date,primary_income_verification,primary_income_type,primary_income_currency,primary_income,prepayment_lock_out_end_date,prepayment_fee_end_date,prepayment_fee,prepayment_date,pool_addition_date,percentage_of_prepayments_allowed_per_year,payment_due,pari_passu_underlying_exposures,originator_name,originator_legal_entity_identifier,originator_establishment_country,origination_date,origination_channel,original_valuation_method,original_valuation_date,original_valuation_amount,original_underlying_exposure_identifier,original_term,original_principal_balance,original_obligor_identifier,original_loan_to_value,original_lender_name,original_lender_legal_entity_identifier,original_lender_establishment_country,original_collateral_identifier,occupancy_type,number_of_payments_before_securitisation,number_of_days_in_arrears,new_underlying_exposure_identifier,new_obligor_identifier,new_collateral_identifier,negative_equity_guarantee,maturity_date,ltv_cap,loan_redemption_flag,litigation,lien,interest_revision_date_3,interest_revision_date_2,interest_revision_date_1,interest_rate_type,interest_rate_reset_interval,interest_rate_floor,interest_rate_cap,insurance_or_investment_provider,health_impairment_flag,guarantor_type,geographic_region_obligor,geographic_region_collateral,geographic_region_classification,further_advance_flag,further_advance_amount,erm_sub_product_type,erm_product_type,energy_performance_certificate_value,energy_performance_certificate_provider_name,employment_status,early_repayment_charge_end,early_repayment_charge,drawdown_facility,deposit_amount,default_date,default_amount,debt_to_income_ratio,date_of_sale,date_of_restructuring,date_of_repurchase,date_last_in_arrears,data_cut_off_date,customer_type,current_valuation_method,current_valuation_date,current_valuation_amount,current_principal_balance,current_loan_to_value,current_interest_rate_margin,current_interest_rate_index_tenor,current_interest_rate_index,current_interest_rate,currency_denomination,cumulative_recoveries,cumulative_prepayments,cumulative_drawn_amount,credit_impaired_obligor,collateral_type,collateral_currency,broker_channel,borrower_2_income,borrower_2_id,borrower_2_age,borrower_1_id,borrower_1_age,balloon_amount,arrears_balance,amortisation_type,allocated_losses,accrued_interest,account_status
62,1965,,776586,0,,60350,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-03,ND5,ND1,2025-09-13,170000.0,77658601,ND5,60350.0,,35.5,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 300,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-13,170000.0,ND5,0.36,ND5,ND5,ND5,9.55,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Cornerstone Mortgages Limited,,,,,,ND5,,ND1,ND5,457.92,Performing (PERF)
65,1975,,776158,0,,81000,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-07,ND5,ND1,2025-09-11,200000.0,77615801,ND5,81000.0,,40.5,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-11,200000.0,ND5,0.41,ND5,ND5,ND5,9.48,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,RSUK ltd,,,,,,ND5,,ND1,ND5,525.95,Performing (PERF)
77,1950,,776002,0,,111100,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-09,ND5,ND1,2025-07-28,220000.0,77600201,ND5,111100.0,,50.5,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 300,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-07-28,220000.0,ND5,0.51,ND5,ND5,ND5,9.39,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Turney and Associates Ltd,,,,,,ND5,,ND1,ND5,657.38,Performing (PERF)
67,1958,,776342,0,,91688,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-15,ND5,ND1,2025-09-16,225000.0,77634201,ND5,91687.5,,40.75,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-16,225000.0,ND5,0.41,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Key Whole Of Market,,,,,,ND5,,ND1,ND5,408.24,Performing (PERF)
69,2008,,776953,0,,198787,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-15,ND5,ND1,2025-09-05,465000.0,77695301,ND5,198787.0,,42.74989247311828,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-05,465000.0,ND5,0.43,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Key Whole Of Market,,,,,,ND5,,ND1,ND5,885.12,Performing (PERF)
68,1960,,777032,0,,207500,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-15,ND5,ND1,2025-09-10,500000.0,77703201,ND5,207500.0,,41.5,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 200,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-10,500000.0,ND5,0.42,ND5,ND5,ND5,9.48,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Just Mortgages Direct Limited,,,,,,ND5,,ND1,ND5,916.18,Performing (PERF)
64,2004,,777077,0,,96850,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-15,ND5,ND1,2025-09-15,260000.0,77707701,ND5,96850.0,,37.25,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 300,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-15,260000.0,ND5,0.37,ND5,ND5,ND5,9.52,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Andy Wilson Financial Services Ltd,,,,,,ND5,,ND1,ND5,429.43,Performing (PERF)
62,1999,,776114,0,,132312,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-16,ND5,ND1,2025-09-10,365000.0,77611401,ND5,132312.0,,36.24986301369863,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-10,365000.0,ND5,0.36,ND5,ND5,ND5,9.48,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Eadon & Co Ltd,,,,,,ND5,,ND1,ND5,549.83,Performing (PERF)
64,1861,,776273,0,,210375,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-21,ND5,ND1,2025-09-17,550000.0,77627301,ND5,210375.0,,38.25,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-17,550000.0,ND5,0.38,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,The Equity Release Partnership Ltd,,,,,,ND5,,ND1,ND5,606.11,Performing (PERF)
68,1974,,776230,0,,58410,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-22,ND5,ND1,2025-06-10,150000.0,77623001,ND5,58410.0,,38.940000000000005,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 200,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-06-10,150000.0,ND5,0.39,ND5,ND5,ND5,9.29,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Fluent Mortgages Horwich Limited T/A Fluent Lifetime,,,,,,ND5,,ND1,ND5,148.67,Performing (PERF)
71,1904,,776700,0,,118300,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-23,ND5,ND1,2025-09-23,260000.0,77670001,ND5,118300.0,,45.5,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 300,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-23,260000.0,ND5,0.46,ND5,ND5,ND5,9.55,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,The Later Life Lending Network Limited,,,,,,ND5,,ND1,ND5,278.57,Performing (PERF)
63,1965,,776710,0,,162562,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-23,ND5,ND1,2025-09-15,425000.0,77671001,ND5,162562.0,,38.24988235294118,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-15,425000.0,ND5,0.38,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Just Mortgages Direct Limited,,,,,,ND5,,ND1,ND5,383.2,Performing (PERF)
61,1935,,779910,0,,87250,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-23,ND5,ND1,2025-09-02,250000.0,77991001,ND5,87250.0,,34.9,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-02,250000.0,ND5,0.35,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Altogether Financial Solutions Ltd,,,,,,ND5,,ND1,ND5,205.67,Performing (PERF)
